file_name,cell_id,track_id,radius_of_gyration,log_rg,diffusion_coefficient,anomalous_exponent,log_diffusion_coefficient,predicted_class,confidence,status
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,279,0.14843633197943562,-1.9075991535542536,0.1542988762758845,1.0,-0.8116372367946588,class_1,0.8839450830954844,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,424,0.18658102829309653,-1.678889666192687,0.18725229449574432,1.0,-0.7275728519690285,class_1,0.9573324356922183,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,566,0.12001149011365454,-2.120167789836799,0.35534712039279076,1.0,-0.44934719957595975,class_1,0.7085502186386221,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,569,0.1694914061689044,-1.7749530545153853,0.7407010540683082,1.0,-0.13035703731718606,class_1,0.9355745319210196,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,658,0.2025436588823598,-1.5967998162546972,0.49383269974517957,1.0,-0.30642015610375894,class_1,0.969557374661766,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,895,0.44281756230726965,-0.8145974169936325,5.494652027384626,1.0,0.7399401940530753,class_1,0.9969973213495273,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,910,0.1782675457056919,-1.7244697914004432,0.5378869209873669,1.0,-0.26930901569598076,class_1,0.9482240981376978,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,912,0.2045082562281129,-1.5871469315606301,1.5308674034504932,1.0,0.1849375757775487,class_1,0.9707129155144865,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,914,0.24059075137134078,-1.4246579160335027,1.4752769411227695,1.0,0.1688735543560256,class_1,0.9841907947067362,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,917,0.20511249196194534,-1.584196709069386,0.3817491830344214,1.0,-0.41822188368613805,class_1,0.9710559831086202,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,929,0.2520165307200416,-1.3782605955267715,1.2692217806914705,1.0,0.10353751627501333,class_1,0.9865730581275971,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1034,0.024699331675467538,-3.70097909338765,0.010395097254349344,1.0,-1.9831714431454335,class_0,0.99999226931876,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1230,0.301145102923899,-1.2001630608768257,2.585655260120354,1.0,0.41257062085071294,class_1,0.9924185719798893,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1309,0.07387851314131416,-2.6053332491742136,0.009980263030578198,1.0,-2.000858012698264,class_0,0.901637247994613,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,1,1340,0.08050518665033381,-2.519433666194242,0.07726594683026937,1.0,-1.1120118691114742,class_0,0.8341870580400591,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,2,861,0.21882827680766545,-1.5194679809177023,1.7334935319349967,1.0,0.23892222554235484,class_1,0.9775302738494601,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,2,1005,0.22107441975860773,-1.5092558931597309,1.481798884593773,1.0,0.17078926353658475,class_1,0.9783895306191513,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,57,0.18477203071832962,-1.6886324801557455,0.2332863472062916,1.0,-0.6321106770076625,class_1,0.9555458105962035,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,113,0.12643479549581466,-2.0680285543308745,0.5218107950133842,1.0,-0.28248694063202157,class_1,0.7650829671437244,confident
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,3,377,0.2904317579334387,-1.236386642735859,0.6289842540066098,1.0,-0.2013602265477946,class_1,0.9915453074318085,confident
